id,name,sort_no,discriminator_type
"50","50","0","pagemax"
"100","100","1","pagemax"
"150","150","2","pagemax"
"200","200","3","pagemax"
"250","250","4","pagemax"
"300","300","5","pagemax"
"350","350","6","pagemax"
"400","400","7","pagemax"
"450","450","8","pagemax"
"500","500","9","pagemax"
