id,name,sort_no,display_order_count,discriminator_type
"1","新規受付","0","1","orderstatus"
"2","入金待ち","1","1","orderstatus"
"6","入金済み","2","1","orderstatus"
"3","キャンセル","3","1","orderstatus"
"4","取り寄せ中","4","1","orderstatus"
"5","発送済み","5","1","orderstatus"
"8","購入処理中","6","0","orderstatus"
"7","決済処理中","7","0","orderstatus"
"9","対応中","9","1","orderstatus"
"10","返品","10","1","orderstatus"
