id,name,sort_no,display_order_count,discriminator_type
"1","新規受付","0","1","orderstatus"
"3","注文取消し","3","0","orderstatus"
"4","対応中","2","1","orderstatus"
"5","発送済み","4","0","orderstatus"
"6","入金済み","1","1","orderstatus"
"7","決済処理中","6","0","orderstatus"
"8","購入処理中","5","0","orderstatus"
"9","返品","7","0","orderstatus"
